city_std,city_clean,n_historical_events,low_history_city,mean_jaccard,median_jaccard,mean_overlap_coefficient,median_overlap_coefficient,split_reps
丹东,丹东市,0,True,,,,,
贵港,贵港市,1,True,,,,,100.0
防城港,防城港市,1,True,,,,,100.0
肇庆,肇庆市,1,True,,,,,100.0
吴忠,吴忠市,1,True,,,,,100.0
固原,固原市,1,True,,,,,100.0
大同,大同市,1,True,,,,,100.0
张家口,张家口市,1,True,,,,,100.0
包头,包头市,1,True,,,,,100.0
伊春,伊春市,1,True,,,,,100.0
武威,武威市,1,True,,,,,100.0
亳州,亳州市,1,True,,,,,100.0
宿州,宿州市,1,True,,,,,100.0
白山,白山市,1,True,,,,,100.0
酒泉,酒泉市,1,True,,,,,100.0
河池,河池市,1,True,,,,,100.0
四平,四平市,0,True,,,,,
葫芦岛,葫芦岛市,1,True,,,,,100.0
营口,营口市,0,True,,,,,
铁岭,铁岭市,0,True,,,,,
梧州,梧州市,1,True,,,,,100.0
娄底,娄底市,1,True,,,,,100.0
张家界,张家界市,1,True,,,,,100.0
恩施土家族苗族,恩施土家族苗族自治州,1,True,,,,,100.0
通化,通化市,1,True,,,,,100.0
佳木斯,佳木斯市,1,True,,,,,100.0
呼伦贝尔,呼伦贝尔市,1,True,,,,,100.0
三门峡,三门峡市,1,True,,,,,100.0
长治,长治市,1,True,,,,,100.0
阳泉,阳泉市,1,True,,,,,100.0
湘西土家族苗族,湘西土家族苗族自治州,1,True,,,,,100.0
来宾,来宾市,1,True,,,,,100.0
潮州,潮州市,1,True,,,,,100.0
泰州,泰州市,1,True,,,,,100.0
平凉,平凉市,0,True,,,,,
沈阳,沈阳市,0,True,,,,,
辽阳,辽阳市,0,True,,,,,
锦州,锦州市,0,True,,,,,
鞍山,鞍山市,0,True,,,,,
