city_clean,city_std,Event_ID,city_grid_count,historical_inventory_grids,affected_grids,observed_covered_affected_grids,observed_impact_coverage_rate,observed_uncovered_impact_share,random_mean_impact_coverage_rate,random_median_impact_coverage_rate,random_q05_impact_coverage_rate,random_q95_impact_coverage_rate,coverage_lift,coverage_difference,empirical_p_value,random_reps
潍坊市,潍坊,5791,4664,28,11,5,0.45454545454545453,0.5454545454545454,0.005454545454545454,0.0,0.0,0.09090909090909091,83.33333333333334,0.4490909090909091,0.0,500
濮阳市,濮阳,3094,1172,11,7,2,0.2857142857142857,0.7142857142857143,0.008285714285714285,0.0,0.0,0.14285714285714285,34.48275862068966,0.2774285714285714,0.004,500
濮阳市,濮阳,5351,1172,10,24,5,0.20833333333333334,0.7916666666666666,0.007416666666666666,0.0,0.0,0.041666666666666664,28.08988764044944,0.2009166666666667,0.0,500
焦作市,焦作,1965,1222,13,8,2,0.25,0.75,0.01075,0.0,0.0,0.125,23.255813953488374,0.23925,0.0,500
焦作市,焦作,5486,1222,13,2,0,0.0,1.0,0.007,0.0,0.0,0.0,0.0,-0.007,1.0,500
玉林市,玉林,2417,415,5,18,2,0.1111111111111111,0.8888888888888888,0.013333333333333334,0.0,0.0,0.05555555555555555,8.333333333333332,0.09777777777777777,0.03,500
玉林市,玉林,5653,415,7,2,0,0.0,1.0,0.012,0.0,0.0,0.0,0.0,-0.012,1.0,500
珠海市,珠海,745,401,29,8,2,0.25,0.75,0.072,0.0,0.0,0.25,3.4722222222222223,0.178,0.11,500
珠海市,珠海,3550,401,29,7,2,0.2857142857142857,0.7142857142857143,0.0757142857142857,0.0,0.0,0.2857142857142857,3.7735849056603774,0.21,0.096,500
珠海市,珠海,5309,401,28,43,16,0.37209302325581395,0.627906976744186,0.06855813953488372,0.06976744186046512,0.023255813953488372,0.13953488372093023,5.427408412483039,0.30353488372093024,0.0,500
珠海市,珠海,5936,401,28,30,13,0.43333333333333335,0.5666666666666667,0.07033333333333332,0.06666666666666667,0.0,0.16666666666666666,6.161137440758296,0.36300000000000004,0.0,500
珠海市,珠海,6033,401,24,59,8,0.13559322033898305,0.864406779661017,0.05911864406779661,0.05084745762711865,0.01694915254237288,0.1016949152542373,2.293577981651376,0.07647457627118645,0.014,500
盐城市,盐城,1494,3376,0,11,0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,500
眉山市,眉山,4924,547,3,30,3,0.1,0.9,0.004933333333333334,0.0,0.0,0.03333333333333333,20.27027027027027,0.09506666666666667,0.0,500
眉山市,眉山,5054,547,7,8,2,0.25,0.75,0.01325,0.0,0.0,0.125,18.867924528301888,0.23675,0.002,500
石家庄市,石家庄,1951,3912,64,112,35,0.3125,0.6875,0.01596428571428571,0.017857142857142856,0.0,0.03571428571428571,19.574944071588373,0.2965357142857143,0.0,500
石家庄市,石家庄,2521,3912,69,61,25,0.4098360655737705,0.5901639344262295,0.018721311475409837,0.01639344262295082,0.0,0.04918032786885246,21.89141856392294,0.39111475409836066,0.0,500
石家庄市,石家庄,3388,3912,67,82,35,0.4268292682926829,0.573170731707317,0.01631707317073171,0.012195121951219513,0.0,0.037195121951218955,26.158445440956644,0.4105121951219512,0.0,500
石家庄市,石家庄,4099,3912,70,15,8,0.5333333333333333,0.4666666666666667,0.018400000000000003,0.0,0.0,0.06666666666666667,28.985507246376805,0.5149333333333334,0.0,500
石家庄市,石家庄,5474,3912,68,30,9,0.3,0.7,0.017799999999999996,0.0,0.0,0.06666666666666667,16.853932584269664,0.2822,0.0,500
石家庄市,石家庄,7147,3912,69,35,11,0.3142857142857143,0.6857142857142857,0.018,0.0,0.0,0.05714285714285714,17.460317460317462,0.29628571428571426,0.0,500
福州市,福州,390,1639,54,7,5,0.7142857142857143,0.2857142857142857,0.03114285714285714,0.0,0.0,0.14285714285714285,22.935779816513765,0.6831428571428572,0.0,500
福州市,福州,1478,1639,52,44,25,0.5681818181818182,0.4318181818181818,0.029999999999999995,0.022727272727272728,0.0,0.06818181818181818,18.939393939393945,0.5381818181818182,0.0,500
福州市,福州,2193,1639,54,12,3,0.25,0.75,0.035166666666666666,0.0,0.0,0.16666666666666666,7.109004739336493,0.21483333333333332,0.002,500
福州市,福州,7121,1639,53,49,21,0.42857142857142855,0.5714285714285714,0.03142857142857143,0.02040816326530612,0.0,0.08163265306122448,13.636363636363635,0.39714285714285713,0.0,500
福州市,福州,7269,1639,45,130,32,0.24615384615384617,0.7538461538461538,0.027646153846153845,0.023076923076923078,0.007692307692307693,0.05384615384615385,8.903728436282695,0.21850769230769232,0.0,500
