city_std,city_clean,number_of_extreme_events,median_uncovered_impact_share,mean_uncovered_impact_share,median_population_exposure_outside,median_road_exposure_outside,median_function_exposure_outside,proportion_events_uncovered_share_gt_25,proportion_events_uncovered_share_gt_50
桂林,桂林市,3,0.75,0.7054730983302412,0.5371906779390966,0.5897540374490694,0.5112359550561798,1.0,1.0
马鞍山,马鞍山市,3,0.75,0.6397435897435898,0.6872959944720487,0.817022003918762,0.83578720062819,1.0,0.6666666666666666
宜春,宜春市,1,0.75,0.75,0.07673838320145858,0.8777000075754045,0.5367892976588629,1.0,1.0
抚州,抚州市,1,0.75,0.75,0.3844283567980785,0.6531250550972116,0.4005028040997873,1.0,1.0
太原,太原市,4,0.7482672314208703,0.7380680419399434,0.7254707841607115,0.684451901948998,0.7052435710863731,1.0,1.0
深圳,深圳市,7,0.7428571428571429,0.75013797972019,0.765360645269766,0.6788316950085552,0.6533553326974142,1.0,1.0
安庆,安庆市,2,0.7380952380952381,0.7380952380952381,0.7605778826505001,0.6793286257379827,0.6889081729901991,1.0,1.0
宁德,宁德市,2,0.7375,0.7375,0.5854215376249996,0.6475554998507682,0.5022565430675372,1.0,1.0
钦州,钦州市,2,0.7333333333333334,0.7333333333333334,0.8029256116036639,0.8494692356488199,0.7742245470275394,1.0,1.0
贵阳,贵阳市,5,0.7272727272727273,0.7294891774891774,0.7296491226066886,0.7041643312505526,0.48412811387900356,1.0,1.0
济宁,济宁市,3,0.7272727272727273,0.7371610845295056,0.7902843456184235,0.7322359914960778,0.5055243264198488,1.0,1.0
东莞,东莞市,4,0.7254641909814323,0.7088859416445623,0.6597296423253414,0.7547807793779147,0.7526874978899007,1.0,0.75
武汉,武汉市,5,0.7156862745098039,0.710521327140402,0.6167301523461282,0.6470839994889462,0.6104497268258335,1.0,0.8
黄石,黄石市,2,0.7156862745098038,0.7156862745098038,0.47870750458232825,0.7947692322954658,0.5373477452738324,1.0,1.0
珠海,珠海市,5,0.7142857142857143,0.7046532274715168,0.5441578231656783,0.6945117285778549,0.5830164765525983,1.0,1.0
三明,三明市,1,0.7142857142857143,0.7142857142857143,0.5355334613283548,0.4222877669946407,0.5827940616673011,1.0,1.0
乌海,乌海市,2,0.7054597701149425,0.7054597701149425,0.9311554262924371,0.675286490988517,0.9361906716687829,1.0,1.0
西安,西安市,7,0.7049180327868853,0.701509249570773,0.7063713209484652,0.6314663746641368,0.6770004729758782,1.0,1.0
阜阳,阜阳市,2,0.7,0.7,0.7339467988924562,0.6717627617117203,0.824215413121586,1.0,1.0
舟山,舟山市,2,0.6959677419354839,0.6959677419354839,0.5761431024673629,0.6911605745008282,0.6244346073655007,1.0,1.0
宝鸡,宝鸡市,3,0.6923076923076923,0.7863247863247863,0.645628183118913,0.5758263080822221,0.47525573679845173,1.0,1.0
雅安,雅安市,2,0.6888888888888889,0.6888888888888889,0.31925152027733666,0.5969504797648724,0.42057820234575566,1.0,1.0
合肥,合肥市,3,0.6875,0.7343954248366013,0.5600164438597971,0.5833496054032937,0.5564592226465963,1.0,1.0
长春,长春市,5,0.6666666666666666,0.6880952380952381,0.6502674005685053,0.640881769244913,0.472384910888595,1.0,1.0
三亚,三亚市,3,0.6666666666666666,0.6984126984126983,0.4125914707769663,0.46234895901764894,0.6393633540372671,1.0,1.0
九江,九江市,3,0.6666666666666666,0.494949494949495,0.5823865553626368,0.34350927392103925,0.8145999064108563,0.6666666666666666,0.6666666666666666
景德镇,景德镇市,3,0.6666666666666666,0.5615384615384615,0.40204015962012557,0.6483291007965704,0.5124800111242439,1.0,0.6666666666666666
庆阳,庆阳市,1,0.6666666666666666,0.6666666666666666,0.22061608602107383,0.6893239549715751,0.18398474737845566,1.0,1.0
泸州,泸州市,1,0.6666666666666666,0.6666666666666666,0.6158569341806089,0.6725540233606401,0.6987882285054818,1.0,1.0
遵义,遵义市,1,0.6666666666666666,0.6666666666666666,0.4562300204659997,0.33582302928800345,0.5720099079971691,1.0,1.0
铜仁,铜仁市,1,0.6666666666666666,0.6666666666666666,0.7718304821361862,0.8844086289953826,0.6768873403019744,1.0,1.0
新乡,新乡市,3,0.6507936507936508,0.7106966490299823,0.6076113112249607,0.5735425341631293,0.5299357085454058,1.0,1.0
潍坊,潍坊市,2,0.6477272727272727,0.6477272727272727,0.5295059945315417,0.6200018095905853,0.701553279105595,1.0,1.0
南京,南京市,6,0.6414285714285715,0.6739736652236652,0.4299121033914805,0.5263804093151068,0.39546417989870714,1.0,1.0
石家庄,石家庄市,6,0.6379391100702576,0.6172026030857498,0.6768001149613938,0.6242988645963994,0.6508530469939273,1.0,0.8333333333333334
岳阳,岳阳市,2,0.6309523809523809,0.6309523809523809,0.4144909254316988,0.5439449940125427,0.5515132385560662,1.0,0.5
绵阳,绵阳市,5,0.6274509803921569,0.6157552982079404,0.611575477772034,0.536747760929902,0.6183963969887242,1.0,0.6
宁波,宁波市,5,0.6226415094339622,0.6440277445861541,0.6208324612925605,0.5303338904292758,0.45622119815668205,1.0,1.0
大连,大连市,3,0.6170212765957447,0.6299440181018271,0.4726750451851135,0.5218477731557514,0.4835272601977259,1.0,0.6666666666666666
济南,济南市,7,0.6,0.5847846371056571,0.686352655008833,0.5427007696001381,0.6574589251816456,0.8571428571428571,0.7142857142857143
银川,银川市,2,0.59375,0.59375,0.5333341101009255,0.4227911665926343,0.3399027430826752,1.0,0.5
孝感,孝感市,2,0.5879120879120879,0.5879120879120879,0.48092220864950463,0.6759198853593994,0.5004468155833235,1.0,0.5
昆明,昆明市,7,0.5866666666666667,0.6451358007044086,0.48069615043323327,0.5167787232023694,0.5161327057394474,1.0,0.8571428571428571
淮北,淮北市,2,0.5852272727272727,0.5852272727272727,0.38299210387348337,0.44279573542629824,0.3162832923990119,1.0,1.0
