city_clean,city_std,Event_ID,is_extreme,Event_Peak_Rain,total_affected_grids,total_reports,historical_hotspot_grids,covered_affected_grids,uncovered_affected_grids,impact_coverage_rate,uncovered_impact_share,report_weighted_coverage_rate,report_weighted_uncovered_share,population_exposure_outside_historical_hotspots,road_exposure_outside_historical_hotspots,function_exposure_outside_historical_hotspots,historical_hotspot_definition,event_impact_definition,analysis_scale_m
九江市,九江,5237,1,81.07100677490234,1,1.0,11,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,loo_positive_history_top_20pct,gt0,1000
伊春市,伊春,3317,1,56.28245544433594,4,11.0,0,0,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
佛山市,佛山,3027,1,50.34381866455078,96,283.0,30,18,78,0.1875,0.8125,0.3003533568904594,0.6996466431095406,0.7670388050506909,0.7751350095619997,0.7019723865877712,loo_positive_history_top_20pct,gt0,1000
佛山市,佛山,4519,1,75.78427124023438,7,12.0,42,4,3,0.5714285714285714,0.42857142857142855,0.5,0.5,0.22229578101671954,0.46975961395377247,0.1535378835316218,loo_positive_history_top_20pct,gt0,1000
佛山市,佛山,5366,1,46.51721954345704,27,33.0,40,5,22,0.18518518518518517,0.8148148148148148,0.24242424242424243,0.7575757575757576,0.697943810404186,0.7963740450897921,0.5680137999014293,loo_positive_history_top_20pct,gt0,1000
保定市,保定,1947,1,68.80370330810547,24,34.0,32,9,15,0.375,0.625,0.47058823529411764,0.5294117647058824,0.7695805477586574,0.6217792906891477,0.8190800979363414,loo_positive_history_top_20pct,gt0,1000
保定市,保定,3267,1,64.44817352294922,5,9.0,33,1,4,0.2,0.8,0.2222222222222222,0.7777777777777778,0.5073331483455075,0.9254781015022967,0.4912597950572634,loo_positive_history_top_20pct,gt0,1000
保定市,保定,3359,1,68.52918243408203,2,12.0,32,0,2,0.0,1.0,0.0,1.0,1.0,,1.0,loo_positive_history_top_20pct,gt0,1000
信阳市,信阳,4805,1,76.10560607910156,11,21.0,12,1,10,0.09090909090909091,0.9090909090909091,0.047619047619047616,0.9523809523809523,0.8060387160185611,0.8067291788927788,0.9500821692686935,loo_positive_history_top_20pct,gt0,1000
信阳市,信阳,5738,1,97.2115707397461,3,3.0,13,0,3,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
儋州市,儋州,2104,1,87.1983413696289,5,8.0,2,0,5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
六安市,六安,1809,1,57.16069412231445,6,6.0,13,2,4,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.443617505167483,0.38317172512686537,0.2856587640886125,loo_positive_history_top_20pct,gt0,1000
六安市,六安,3331,1,52.632999420166016,6,13.0,12,1,5,0.16666666666666666,0.8333333333333334,0.07692307692307693,0.9230769230769231,0.9162074066017658,0.8928343885916821,0.7224583197123243,loo_positive_history_top_20pct,gt0,1000
六安市,六安,4801,1,67.09221649169922,56,169.0,3,0,56,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
兰州市,兰州,24,1,24.49703025817871,6,11.0,20,2,4,0.3333333333333333,0.6666666666666666,0.18181818181818182,0.8181818181818182,0.3607268439491118,0.5780842031976778,0.6978666666666666,loo_positive_history_top_20pct,gt0,1000
兰州市,兰州,3281,1,22.595371246337887,66,532.0,14,6,60,0.09090909090909091,0.9090909090909091,0.14097744360902256,0.8590225563909775,0.8923082234600143,0.8825318069937957,0.8772051110899208,loo_positive_history_top_20pct,gt0,1000
北京,北京,150,1,53.40113830566406,54,134.0,175,18,36,0.3333333333333333,0.6666666666666666,0.47761194029850745,0.5223880597014925,0.6289047256386759,0.6786848080875957,0.648,loo_positive_history_top_20pct,gt0,1000
北京,北京,1926,1,74.80223083496094,157,292.0,166,37,120,0.2356687898089172,0.7643312101910829,0.339041095890411,0.660958904109589,0.7797235670219091,0.7087454944595148,0.7366591676040495,loo_positive_history_top_20pct,gt0,1000
北京,北京,3262,1,73.00611877441406,173,591.0,165,32,141,0.18497109826589594,0.815028901734104,0.17428087986463622,0.8257191201353637,0.8195621230054898,0.7743520159525,0.753673591832169,loo_positive_history_top_20pct,gt0,1000
北京,北京,3308,1,58.9424057006836,31,44.0,176,7,24,0.22580645161290322,0.7741935483870968,0.2727272727272727,0.7272727272727273,0.6376480719443628,0.6747020923000513,0.8070140179872382,loo_positive_history_top_20pct,gt0,1000
北京,北京,3369,1,67.31710815429688,72,112.0,173,12,60,0.16666666666666666,0.8333333333333334,0.23214285714285715,0.7678571428571429,0.6998400842601223,0.7393408102863341,0.7431378370354377,loo_positive_history_top_20pct,gt0,1000
北京,北京,7098,1,46.6526756286621,318,1399.0,139,41,277,0.1289308176100629,0.8710691823899371,0.19299499642601858,0.8070050035739814,0.8102017131438418,0.8143463284606476,0.801328821393199,loo_positive_history_top_20pct,gt0,1000
北海市,北海,265,1,87.10291290283203,9,12.0,7,4,5,0.4444444444444444,0.5555555555555556,0.5,0.5,0.5733283428330039,0.5200766777669041,0.441321044546851,loo_positive_history_top_20pct,gt0,1000
北海市,北海,320,1,55.114776611328125,10,21.0,8,7,3,0.7,0.3,0.7619047619047619,0.23809523809523808,0.2808472389008859,0.3042693694516586,0.2756838905775076,loo_positive_history_top_20pct,gt0,1000
北海市,北海,600,1,100.46524047851562,9,12.0,7,3,6,0.3333333333333333,0.6666666666666666,0.25,0.75,0.6037327910453921,0.6681887317511486,0.6119936457505957,loo_positive_history_top_20pct,gt0,1000
南京市,南京,445,1,82.61363220214844,20,43.0,82,8,12,0.4,0.6,0.627906976744186,0.37209302325581395,0.31283337477671097,0.4601327111684434,0.3570636996320759,loo_positive_history_top_20pct,gt0,1000
南京市,南京,3918,1,55.97428894042969,11,14.0,82,4,7,0.36363636363636365,0.6363636363636364,0.35714285714285715,0.6428571428571429,0.5564297061558003,0.5423036253305874,0.24196463147024655,loo_positive_history_top_20pct,gt0,1000
南京市,南京,4604,1,54.61111450195312,66,133.0,79,19,47,0.2878787878787879,0.7121212121212122,0.2556390977443609,0.7443609022556391,0.47047235852812247,0.5791372722540199,0.43386466016533837,loo_positive_history_top_20pct,gt0,1000
南京市,南京,4797,1,56.45916366577149,25,55.0,81,9,16,0.36,0.64,0.2545454545454545,0.7454545454545455,0.38935184825483854,0.5104571932996261,0.3185678601165695,loo_positive_history_top_20pct,gt0,1000
南京市,南京,5517,1,57.83370971679688,14,24.0,82,5,9,0.35714285714285715,0.6428571428571429,0.375,0.625,0.33991873757886754,0.43402030255985485,0.5772495755517827,loo_positive_history_top_20pct,gt0,1000
南京市,南京,5579,1,49.80371475219727,16,25.0,81,3,13,0.1875,0.8125,0.12,0.88,0.6259831548108179,0.7437361228454681,0.6553415061295972,loo_positive_history_top_20pct,gt0,1000
南充市,南充,1504,1,51.04774856567384,12,22.0,5,1,11,0.08333333333333333,0.9166666666666666,0.2727272727272727,0.7272727272727273,0.9907819913521285,0.9310504019400986,0.9139088923052027,loo_positive_history_top_20pct,gt0,1000
南宁市,南宁,15,1,73.42735290527344,14,21.0,33,3,11,0.21428571428571427,0.7857142857142857,0.19047619047619047,0.8095238095238095,0.7507089667168095,0.8216499083095115,0.7124152074459694,loo_positive_history_top_20pct,gt0,1000
南宁市,南宁,160,1,72.66978454589844,11,14.0,33,4,7,0.36363636363636365,0.6363636363636364,0.5,0.5,0.7061688201334453,0.6458163441302207,0.6121120723866974,loo_positive_history_top_20pct,gt0,1000
南宁市,南宁,1667,1,84.23100280761719,49,158.0,31,14,35,0.2857142857142857,0.7142857142857143,0.6455696202531646,0.35443037974683544,0.36662296966271873,0.6125093604129631,0.6087036780654391,loo_positive_history_top_20pct,gt0,1000
南宁市,南宁,2427,1,113.52899169921876,8,14.0,33,2,6,0.25,0.75,0.2857142857142857,0.7142857142857143,0.33282114950313346,0.6339758274980668,0.6511190334719746,loo_positive_history_top_20pct,gt0,1000
